homa@homa1:~/platformlab/RAMCloud/logs/20180608125510$ cat coordinator.homa4.log 
1528480511.027278629 CoordinatorMain.cc:96 in main NOTICE[1]: Command line: /home/homa/platformlab/RAMCloud/obj.05302018_dpdk/coordinator -C basic+udp:host=10.10.10.14,port=12246 -l NOTICE --logFile logs/20180608125510/coordinator.homa4.log --dpdkPort 0 --configDir config
1528480511.027309848 CoordinatorMain.cc:97 in main NOTICE[1]: Coordinator process id: 19405
1528480511.027389904 DpdkDriver.cc:148 in DpdkDriver NOTICE[1]: Using DPDK version DPDK 17.11.0
1528480511.027516894 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 0 as core 1 on socket 0
1528480511.027563669 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 1 as core 1 on socket 1
1528480511.027598499 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 2 as core 1 on socket 2
1528480511.027639570 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 3 as core 1 on socket 3
1528480511.027667885 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 4 as core 5 on socket 0
1528480511.027700560 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 5 as core 5 on socket 1
1528480511.027736972 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 6 as core 5 on socket 2
1528480511.027775304 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 7 as core 5 on socket 3
1528480511.027803987 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 8 as core 16 on socket 0
1528480511.027836880 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 9 as core 16 on socket 1
1528480511.027875595 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 10 as core 16 on socket 2
1528480511.027919137 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 11 as core 16 on socket 3
1528480511.027947056 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 12 as core 20 on socket 0
1528480511.027978528 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 13 as core 20 on socket 1
1528480511.028014341 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 14 as core 20 on socket 2
1528480511.028053895 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 15 as core 20 on socket 3
1528480511.028081974 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 16 as core 1 on socket 0
1528480511.028113582 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 17 as core 1 on socket 1
1528480511.028148982 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 18 as core 1 on socket 2
1528480511.028188050 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 19 as core 1 on socket 3
1528480511.028216823 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 20 as core 5 on socket 0
1528480511.028248782 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 21 as core 5 on socket 1
1528480511.028284068 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 22 as core 5 on socket 2
1528480511.028323656 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 23 as core 5 on socket 3
1528480511.028351354 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 24 as core 16 on socket 0
1528480511.028383520 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 25 as core 16 on socket 1
1528480511.028420541 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 26 as core 16 on socket 2
1528480511.028460188 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 27 as core 16 on socket 3
1528480511.028488781 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 28 as core 20 on socket 0
1528480511.028520474 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 29 as core 20 on socket 1
1528480511.028555425 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 30 as core 20 on socket 2
1528480511.028603533 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected lcore 31 as core 20 on socket 3
1528480511.028931366 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Support maximum 128 logical core(s) by configuration.
1528480511.028938589 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Detected 32 lcore(s)
1528480511.035379010 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Probing VFIO support...
1528480511.035414425 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL:   IOMMU type 1 (Type 1) is supported
1528480511.035422510 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL:   IOMMU type 7 (sPAPR) is not supported
1528480511.035426108 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL:   IOMMU type 8 (No-IOMMU) is not supported
1528480511.035428848 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: VFIO support initialized
1528480511.035529049 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Setting up physically contiguous memory...
1528480511.035585761 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Trying to obtain current memory policy.
1528480546.777302934 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_1 is on socket 3
1528480546.777347253 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_2 is on socket 3
1528480546.777349533 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_3 is on socket 3
1528480546.777351054 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_4 is on socket 3
1528480546.777352429 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_5 is on socket 3
1528480546.777368207 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_6 is on socket 3
1528480546.777369612 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_7 is on socket 3
1528480546.777370877 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_8 is on socket 3
1528480546.777372277 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_9 is on socket 3
1528480546.777373586 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_10 is on socket 3
1528480546.777374899 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_11 is on socket 3
1528480546.777376311 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_12 is on socket 3
1528480546.777377703 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_13 is on socket 3
1528480546.777378988 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_14 is on socket 3
1528480546.777380355 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_15 is on socket 3
1528480546.777381726 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_16 is on socket 3
1528480546.777396642 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_17 is on socket 3
1528480546.777398345 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_18 is on socket 3
1528480546.777399963 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_19 is on socket 3
1528480546.777404694 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_20 is on socket 3
1528480546.777406060 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_21 is on socket 3
1528480546.777407311 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_22 is on socket 3
1528480546.777408661 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_23 is on socket 3
1528480546.777410013 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_24 is on socket 3
1528480546.777411410 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_25 is on socket 3
1528480546.777412836 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_26 is on socket 0
1528480546.777414234 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_27 is on socket 0
1528480546.777428817 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_28 is on socket 0
1528480546.777430495 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_29 is on socket 0
1528480546.777432186 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_30 is on socket 0
1528480546.777433700 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_31 is on socket 0
1528480546.777435063 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_32 is on socket 0
1528480546.777436472 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_33 is on socket 0
1528480546.777437746 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_34 is on socket 0
1528480546.777439095 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_35 is on socket 0
1528480546.777454661 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_36 is on socket 0
